hostname,ip_address,status
AWE-BC-UW01,,pending
BORO-ROAM-SW01,,pending
CMCH-HUB2-SW01,,pending
CMCH-SVR-SW06,,pending
CMCH-TECH14-SW01,,pending
CMCH-TECH14-SW02,,pending
DBL-SVR-SW02,,pending
DFW1-ACCESS-SW03,,pending
DFW1-ACCESS-SW04,,pending
EIT-PHX-UW01,,pending
EIT-PHX-UW02,,pending
IAD2-DC-UW01,,pending
IAD2-DC-UW02,,pending
IAD2-MGMT-SW04,,pending
KAGS-CORE-A,,pending
KAGS-SW01,,pending
KAGS-SW02,,pending
KAGS-UW03,,pending
KBMT-SW10,,pending
KBMT-XMIT-SW01,,pending
KCEN-CORE-A-NEW,,pending
KCEN-TRANS-SW01,,pending
KCEN-UW03,,pending
KCEN-UW04,,pending
KENS-2NDFLOOR-02,,pending
KENS-NEWS-01,,pending
KENS-NEWS-02,,pending
KENS-NEWS-03,,pending
KENS-TECHAREA-05,,pending
KFMB-BKUP-SW01,,pending
KFSM-3650-ENG-STACK,,pending
KFSM-3650-NEWS-STACK,,pending
KFSM-IT-RM137-SW01,,pending
KFSM-METROE-WINSLOW,,pending
KFSM-TEGNA-STAGE-SW01,,pending
KGW-000-R59-SW01,,pending
KGW-DR1-SW01,,pending
KGW-DR1-UW01,,pending
KGW-UW01,,pending
KGW-UW02,,pending
KGW-UW03,,pending
KHOU-UW01,,pending
KHOU-UW02,,pending
KHOU-XMIT-UW01,,pending
KING-UW01,,pending
KING-UW02,,pending
KREM-MC-SW01,,pending
KSDK-NEW-DIGISET,,pending
KSDK-RACKROOM-C,,pending
KSDK-RACKROOM-D,,pending
KSDK-SPARE-SW01,,pending
KSDK-TRANS-RTR01,,pending
KSDK-TRANS-RTR02,,pending
KSDK-UW01,,pending
KSDK-UW02,,pending
KSDK-WEATHER-SW,,pending
KTHV-3750X-BC-SW-A,,pending
KTHV-3750X-BC-SW-B,,pending
KTVB-ACCESS-SW01,,pending
KTVB-BITCENTRAL-SW1,,pending
KTVB-BITCENTRAL-SW2,,pending
KTVB-CAMERA-SW,,pending
KTVB-CONTROL-01,,pending
KTVB-CREATIVESRVC-SW01,,pending
KTVB-CRISPIN-SW1,,pending
KTVB-DIRECTOROFFICE,,pending
KTVB-DIRECTOROFFICENEW,,pending
KTVB-DIRECTORSSW-NEWSW,,pending
KTVB-GRPHCS-01,,pending
KTVB-OMNEON-SW1,,pending
KTVB-OMNEON-SW2,,pending
KTVB-RACK114-SW2,,pending
KUSA-2960-TRANSMITTER-SW-A,,pending
KUSA-UW01,,pending
KUSA-UW01-NEW,,pending
KUSA-UW02,,pending
KVUE-XMIT1-SW01,,pending
KVUE-XMIT1-UW01,,pending
KWES-CORE-3650,,pending
KWES-DR1-UW01,,pending
KXTV-BC-SW01,,pending
KXTV-BC-SW03,,pending
KXTV-NEWS1-SW01,,pending
KXTV-NEWS1-UW01,,pending
KXTV-STOCK-UW01,,pending
KXTV-SVR-SW03,,pending
KXVA-STUDIO1-UW01,,pending
KYTX-XMIT-SW01,,pending
KYTX-XMIT-UW01,,pending
MPG-UW01,,pending
NYC-UW01,,pending
NYC-UW02,,pending
NYCM-CORP-SW01,,pending
NYCM-UW01,,pending
TEGNA-TRUCK-UW01,,pending
TNMEMOF1SWI002,,pending
TYS-LAB5548-SW,,pending
WCNC-AUTOMATION-SW01,,pending
WCNC-AUTOMATION-SW02,,pending
WCNC-NBC-SW01,,pending
WCNC-SVR-SW01,,pending
WCNC-SVR-SW02,,pending
WCNC-SW5,,pending
WCNC-SW6,,pending
WCNC-TC-SW10,,pending
WCNC-TCSTACK,,pending
WCNC-UW01-NEW,,pending
WCNC-UW02-NEW,,pending
WCSH-LAB-SW01,,pending
WCSH-MCR-SW-A,,pending
WCSH-MCR-SW-B,,pending
WCSH-UW03,,pending
WCSH-UW05,,pending
WCSH-XMIT1-SW01,,pending
WCSH-XMIT1-UW01,,pending
WFAA-CONTROL-SW01,,pending
WFAA-DR1-UW01,,pending
WFAA-KHOU-SW01,,pending
WFAA-SVR-SRR-R207,,pending
WFAA-TEMP-SW01,,pending
WFAA-UW01,,pending
WFAA-UW02,,pending
WFAA-UW04,,pending
WFAA-XMIT1-SW01,,pending
WFMY-UW01,,pending
WFMY-UW02,,pending
WGRX-MGMT-SW02,,pending
WGRZ-CLIENT-STACK01,,pending
WGRZ-CLIENT-SW01,,pending
WGRZ-DEVICE-SW02,,pending
WGRZ-MAIN-OOB-SW01,,pending
WGRZ-MGMT-SW01,,pending
WGRZ-STL1-UW01,,pending
WGRZ-SVR-SW03,,pending
WGRZ-UW06,,pending
WHAS-GCTRL-A,,pending
WKYC-9200-STA-584-SW-A,,pending
WKYC-CORE-A-NEW,,pending
WKYC-CORE-A-OLD,,pending
WKYC-SPARE-SW-1,,pending
WKYC-SPARE-SW-2,,pending
WKYC-WX-SW-A,,pending
WLTX-MC-UTIL-A,,pending
WLTX-OOB-SW01,,pending
WLTX-SERVER-SW01,,pending
WLTX-SERVER-SW02,,pending
WNEP-3850-CORE,,pending
WOI-6509-SW01,,pending
WOI-TRANS-SW01,,pending
WOI-UW03,,pending
WPMT-MGMT02,,pending
WPMT-MGMT03,,pending
WPMT-MGMT04,,pending
WPMT-MGMT05,,pending
WPMT-OPUS-SW3560,,pending
WQAD-BC-SW01,,pending
WQAD-BC-SW02,,pending
WQAD-MGMT-SW01,,pending
WQAD-MGMT01,,pending
WQAD-NEWS-STACK-01,,pending
WQAD-PCR-SW-01,,pending
WQAD-SW-01,,pending
WQAD-XMIT1-UW01,,pending
WTHR-IMS,,pending
WTHR_GAR-38,,pending
WTHR_PRDTRK13,,pending
WTLV-2960G-BC-SW-C,,pending
WTLV-2960S-2NDFLR-SW-C,,pending
WTLV-2960S-NEWS-SW-C,,pending
WTLV-CORE-A_NEW,,pending
WTLV-ENG-SW02,,pending
WTLV-NEWS-SW01,,pending
WTLV-NEWSTUDIO-B,,pending
WTLV-SALES-SW01,,pending
WTLV-SALES-SW02,,pending
WTLV-SVR-SW03,,pending
WTLV-TWR-CORE-A,,pending
WTLV-TWR-CORE-B,,pending
WTOL-BC2960-1,,pending
WTOL-IT-OFFICE,,pending
WTOL-NEWS-2960-1,,pending
WTOL-PROMPTER-2960,,pending
WTOL-RKRM-RER37-SW01,,pending
WTOL-RKRM-RER37-SW01_RENAME,,pending
WTOL-SPARE,,pending
WTOL-WSI-2960,,pending
WTSP-2960-OOB-SW-A,,pending
WTSP-9200-SCR,,pending
WTSP-AUTOMATION-SW-2,,pending
WTSP-BUSINESS-VOIP-A,,pending
WTSP-BUSINESS-VOIP-C,,pending
WTSP-CAMBOT-SW-1,,pending
WTSP-CLIENTSW-2,,pending
WTSP-FEED-SW01,,pending
WTSP-RACKROOM-R29-SW01,,pending
WTSP-SERVERSW-1STFL,,pending
WTSP-SVR-SW-A,,pending
WTSP-SVR-SW-B,,pending
WTSP-UW01,,pending
WTSP-UW02,,pending
WTSP-UW04,,pending
WTSP-XMIT1-SW01,,pending
WTSP-XMIT1-UW01,,pending
WUSA-2960-1STFLOOR-SW-A,,pending
WUSA-2960-1STFLOOR-SW-B,,pending
WUSA-2960-1STFLOOR-SW-C,,pending
WUSA-2960-1STFLOOR-SW-D,,pending
WUSA-2960-4THFLOOR-SW-A,,pending
WUSA-2960-4THFLOOR-SW-B,,pending
WUSA-2960-BACKUP,,pending
WUSA-2ND-3650-SW01,,pending
WUSA-3RD-3650-SW01,,pending
WUSA-3RD-3650-SW02,,pending
WUSA-4TH-3650-SW01,,pending
WUSA-4TH-3650-SW02,,pending
